LastName,FirstName,Email,Student Name,TeamNumber,TeammateNumber,Teammate1,Teammate2,Teammate3,Teammate4,Teammate5,Teammate6
,,,A,1,1,,,,,,
,,,B,1,2,,,,,,
,,,C,1,3,,,,,,
,,,D,1,4,,,,,,
,,,E,2,1,,,,,,
,,,F,2,2,,,,,,
,,,G,2,3,,,,,,
,,,H,2,4,,,,,,
,,,I,3,1,,,,,,
,,,J,3,2,,,,,,
,,,K,3,3,,,,,,
,,,L,3,4,,,,,,
,,,M,4,1,,,,,,
,,,N,4,2,,,,,,
,,,O,4,3,,,,,,
,,,P,4,4,,,,,,
,,,Q,5,1,,,,,,
,,,R,5,2,,,,,,
,,,S,5,3,,,,,,
,,,T,6,1,,,,,,
,,,U,6,2,,,,,,
,,,V,6,3,,,,,,
,,,W,6,4,,,,,,
,,,X,7,1,,,,,,
,,,Y,7,2,,,,,,
,,,Z,7,3,,,,,,
,,,AA,7,4,,,,,,
,,,AB,7,5,,,,,,
,,,AC,7,6,,,,,,
,,,AD,8,1,,,,,,
,,,AE,8,2,,,,,,
,,,AF,8,3,,,,,,
,,,AG,8,4,,,,,,
,,,AH,9,1,,,,,,
,,,AI,9,2,,,,,,
,,,AJ,9,3,,,,,,
,,,AK,9,4,,,,,,
,,,AL,10,1,,,,,,
,,,AM,10,2,,,,,,
,,,AN,10,3,,,,,,
,,,AO,10,4,,,,,,
,,,AP,11,1,,,,,,
,,,AQ,11,2,,,,,,
,,,AR,11,3,,,,,,
,,,AS,11,4,,,,,,
,,,AT,13,1,,,,,,
,,,AU,13,2,,,,,,
,,,AV,13,3,,,,,,
,,,AW,13,4,,,,,,
,,,AX,14,1,,,,,,
,,,AY,14,3,,,,,,
,,,AZ,14,4,,,,,,
,,,BA,15,1,,,,,,
,,,BB,15,2,,,,,,
,,,BC,15,3,,,,,,
,,,BD,16,1,,,,,,
,,,BE,16,2,,,,,,
,,,BF,16,3,,,,,,
,,,BG,16,4,,,,,,
,,,BH,17,1,,,,,,
,,,BI,17,2,,,,,,
,,,BJ,17,3,,,,,,
,,,BK,17,4,,,,,,
,,,BL,18,1,,,,,,
,,,BM,18,2,,,,,,
,,,BN,18,3,,,,,,
,,,BO,18,4,,,,,,
,,,BP,19,1,,,,,,
,,,BQ,19,2,,,,,,
,,,BR,19,3,,,,,,
,,,BS,19,4,,,,,,
,,,BT,20,1,,,,,,
,,,BU,20,2,,,,,,
,,,BV,20,3,,,,,,
,,,BW,21,1,,,,,,
,,,BX,21,2,,,,,,
,,,BY,21,3,,,,,,
,,,BZ,21,4,,,,,,
,,,CA,22,1,,,,,,
,,,CB,22,2,,,,,,
,,,CD,22,3,,,,,,
,,,CC,22,4,,,,,,
